,Voltage(V),Bare Electrode Current (A),PVP Electrode Current (A),Chitosan Electrode Current(A),Chitosan GO Electrode Current(A)
45,-0.155,-0.0000143,-0.00001373,-0.00001602,-0.00001374
46,-0.154,-0.00001423,-0.00001373,-0.00001602,-0.00001374
47,-0.153,-0.00001417,-0.00001373,-0.00001602,-0.00001374
48,-0.152,-0.00001408,-0.00001373,-0.00001602,-0.00001374
49,-0.151,-0.00001402,-0.00001373,-0.00001602,-0.00001374
50,-0.15,-0.00001396,-0.00001373,-0.00001602,-0.00001374
51,-0.149,-0.0000139,-0.00001341,-0.00001602,-0.00001342
52,-0.148,-0.00001384,-0.00001341,-0.00001602,-0.00001374
53,-0.147,-0.00001378,-0.00001341,-0.00001602,-0.00001342
54,-0.146,-0.00001371,-0.00001341,-0.00001602,-0.00001374
55,-0.145,-0.00001365,-0.00001341,-0.00001602,-0.00001342
56,-0.144,-0.00001359,-0.00001309,-0.00001602,-0.00001342
57,-0.143,-0.0000135,-0.00001309,-0.00001602,-0.00001342
58,-0.142,-0.00001347,-0.00001309,-0.0000157,-0.00001342
59,-0.141,-0.00001338,-0.00001309,-0.0000157,-0.00001342
60,-0.14,-0.00001332,-0.00001309,-0.0000157,-0.00001342
61,-0.139,-0.00001326,-0.00001309,-0.0000157,-0.0000131
62,-0.138,-0.0000132,-0.00001277,-0.0000157,-0.00001342
63,-0.137,-0.00001313,-0.00001277,-0.0000157,-0.0000131
64,-0.136,-0.00001307,-0.00001277,-0.0000157,-0.00001342
65,-0.135,-0.00001301,-0.00001277,-0.0000157,-0.0000131
66,-0.134,-0.00001295,-0.00001277,-0.0000157,-0.0000131
67,-0.133,-0.00001289,-0.00001277,-0.0000157,-0.0000131
68,-0.132,-0.00001283,-0.00001277,-0.0000157,-0.0000131
69,-0.131,-0.00001277,-0.00001245,-0.00001538,-0.0000131
70,-0.13,-0.00001271,-0.00001245,-0.0000157,-0.0000131
71,-0.129,-0.00001265,-0.00001245,-0.0000157,-0.0000131
72,-0.128,-0.00001258,-0.00001245,-0.0000157,-0.0000131
73,-0.127,-0.00001252,-0.00001245,-0.00001538,-0.0000131
74,-0.126,-0.00001246,-0.00001245,-0.00001538,-0.0000131
75,-0.125,-0.0000124,-0.00001245,-0.00001538,-0.00001278
76,-0.124,-0.00001234,-0.00001213,-0.00001538,-0.0000131
77,-0.123,-0.00001228,-0.00001213,-0.00001538,-0.00001278
78,-0.122,-0.00001222,-0.00001213,-0.00001538,-0.0000131
79,-0.121,-0.00001216,-0.00001213,-0.00001538,-0.00001278
80,-0.12,-0.0000121,-0.00001213,-0.00001538,-0.00001278
81,-0.119,-0.00001203,-0.00001181,-0.00001538,-0.00001278
82,-0.118,-0.00001197,-0.00001181,-0.00001538,-0.00001278
83,-0.117,-0.00001191,-0.00001181,-0.00001538,-0.00001278
84,-0.116,-0.00001185,-0.00001181,-0.00001538,-0.00001278
85,-0.115,-0.00001179,-0.00001181,-0.00001538,-0.00001278
86,-0.114,-0.00001173,-0.00001181,-0.00001538,-0.00001278
87,-0.113,-0.00001167,-0.00001181,-0.00001538,-0.00001278
88,-0.112,-0.00001161,-0.00001149,-0.00001538,-0.00001278
89,-0.111,-0.00001155,-0.00001149,-0.00001538,-0.00001246
90,-0.11,-0.00001152,-0.00001149,-0.00001506,-0.00001278
91,-0.109,-0.00001142,-0.00001149,-0.00001506,-0.00001246
92,-0.108,-0.00001139,-0.00001149,-0.00001506,-0.00001278
93,-0.107,-0.0000113,-0.00001149,-0.00001506,-0.00001246
94,-0.106,-0.00001124,-0.00001117,-0.00001506,-0.00001278
95,-0.105,-0.00001121,-0.00001149,-0.00001506,-0.00001246
96,-0.104,-0.00001115,-0.00001117,-0.00001506,-0.00001246
97,-0.103,-0.00001106,-0.00001117,-0.00001506,-0.00001246
98,-0.102,-0.00001103,-0.00001117,-0.00001506,-0.00001246
99,-0.101,-0.00001097,-0.00001117,-0.00001506,-0.00001246
100,-0.1,-0.00001087,-0.00001085,-0.00001506,-0.00001246
101,-0.099,-0.00001084,-0.00001085,-0.00001506,-0.00001246
102,-0.098,-0.00001078,-0.00001117,-0.00001506,-0.00001246
103,-0.097,-0.00001072,-0.00001085,-0.00001506,-0.00001246
104,-0.096,-0.00001066,-0.00001085,-0.00001506,-0.00001246
105,-0.095,-0.0000106,-0.00001085,-0.00001506,-0.00001246
106,-0.094,-0.00001054,-0.00001085,-0.00001473,-0.00001214
107,-0.093,-0.00001048,-0.00001053,-0.00001473,-0.00001214
108,-0.092,-0.00001045,-0.00001053,-0.00001473,-0.00001214
109,-0.091,-0.00001035,-0.00001053,-0.00001473,-0.00001214
110,-0.09,-0.00001029,-0.00001053,-0.00001473,-0.00001214
111,-0.089,-0.00001023,-0.00001053,-0.00001473,-0.00001214
112,-0.088,-0.00001017,-0.00001053,-0.00001473,-0.00001214
113,-0.087,-0.00001014,-0.00001053,-0.00001473,-0.00001214
114,-0.086,-0.00001008,-0.00001021,-0.00001473,-0.00001214
115,-0.085,-0.00001002,-0.00001021,-0.00001473,-0.00001214
116,-0.084,-0.000009957,-0.00001021,-0.00001473,-0.00001214
117,-0.083,-0.000009896,-0.00001021,-0.00001473,-0.00001214
118,-0.082,-0.000009835,-0.00001021,-0.00001473,-0.00001214
119,-0.081,-0.000009774,-0.00001021,-0.00001473,-0.00001182
120,-0.08,-0.000009713,-0.00001021,-0.00001473,-0.00001182
121,-0.079,-0.000009651,-0.00001021,-0.00001473,-0.00001214
122,-0.078,-0.00000959,-0.000009889,-0.00001473,-0.00001182
123,-0.077,-0.000009529,-0.000009889,-0.00001473,-0.00001182
124,-0.076,-0.000009468,-0.000009889,-0.00001473,-0.00001182
125,-0.075,-0.000009438,-0.000009889,-0.00001441,-0.00001182
126,-0.074,-0.000009346,-0.000009889,-0.00001441,-0.00001182
127,-0.073,-0.000009285,-0.000009569,-0.00001441,-0.00001182
128,-0.072,-0.000009254,-0.000009569,-0.00001441,-0.00001182
129,-0.071,-0.000009193,-0.000009569,-0.00001441,-0.00001182
130,-0.07,-0.000009132,-0.000009569,-0.00001441,-0.00001182
131,-0.069,-0.000009071,-0.000009569,-0.00001441,-0.00001182
132,-0.068,-0.00000901,-0.000009569,-0.00001441,-0.00001182
133,-0.067,-0.000008949,-0.000009569,-0.00001441,-0.00001182
134,-0.066,-0.000008888,-0.000009569,-0.00001441,-0.0000115
135,-0.065,-0.000008827,-0.000009569,-0.00001441,-0.0000115
136,-0.064,-0.000008765,-0.000009249,-0.00001441,-0.0000115
137,-0.063,-0.000008704,-0.000009249,-0.00001441,-0.00001182
138,-0.062,-0.000008643,-0.000009249,-0.00001441,-0.0000115
139,-0.061,-0.000008582,-0.000009249,-0.00001441,-0.0000115
140,-0.06,-0.000008521,-0.000009249,-0.00001441,-0.0000115
141,-0.059,-0.00000846,-0.000009249,-0.00001409,-0.0000115
142,-0.058,-0.000008399,-0.000008929,-0.00001441,-0.0000115
143,-0.057,-0.000008338,-0.000008929,-0.00001441,-0.0000115
144,-0.056,-0.000008277,-0.000008929,-0.00001409,-0.0000115
145,-0.055,-0.000008246,-0.000008929,-0.00001409,-0.0000115
146,-0.054,-0.000008185,-0.000008929,-0.00001409,-0.0000115
147,-0.053,-0.000008124,-0.000008929,-0.00001409,-0.0000115
148,-0.052,-0.000008063,-0.000008929,-0.00001409,-0.00001118
149,-0.051,-0.000008002,-0.000008609,-0.00001409,-0.0000115
150,-0.05,-0.000007941,-0.000008609,-0.00001409,-0.00001118
151,-0.049,-0.000007879,-0.000008609,-0.00001409,-0.00001118
152,-0.048,-0.000007818,-0.000008609,-0.00001409,-0.00001118
153,-0.047,-0.000007757,-0.000008609,-0.00001409,-0.0000115
154,-0.046,-0.000007727,-0.000008609,-0.00001409,-0.00001118
155,-0.045,-0.000007635,-0.000008609,-0.00001409,-0.00001118
156,-0.044,-0.000007604,-0.000008609,-0.00001409,-0.00001118
157,-0.043,-0.000007543,-0.000008289,-0.00001409,-0.00001118
158,-0.042,-0.000007482,-0.000008289,-0.00001409,-0.00001118
159,-0.041,-0.000007421,-0.000008289,-0.00001409,-0.00001118
160,-0.04,-0.00000736,-0.000008289,-0.00001409,-0.00001118
161,-0.039,-0.000007299,-0.000008289,-0.00001409,-0.00001118
162,-0.038,-0.000007238,-0.000008289,-0.00001409,-0.00001118
163,-0.037,-0.000007177,-0.000007969,-0.00001409,-0.00001118
164,-0.036,-0.000007116,-0.000007969,-0.00001377,-0.00001118
165,-0.035,-0.000007054,-0.000007969,-0.00001377,-0.00001118
166,-0.034,-0.000006993,-0.000007969,-0.00001409,-0.00001118
167,-0.033,-0.000006963,-0.000007969,-0.00001377,-0.00001118
168,-0.032,-0.000006871,-0.000007969,-0.00001377,-0.00001118
169,-0.031,-0.000006841,-0.000007969,-0.00001377,-0.00001118
170,-0.03,-0.00000678,-0.000007649,-0.00001377,-0.00001086
171,-0.029,-0.000006718,-0.000007649,-0.00001377,-0.00001118
172,-0.028,-0.000006657,-0.000007649,-0.00001377,-0.00001086
173,-0.027,-0.000006596,-0.000007649,-0.00001377,-0.00001118
174,-0.026,-0.000006535,-0.000007649,-0.00001377,-0.00001086
175,-0.025,-0.000006474,-0.000007328,-0.00001377,-0.00001086
176,-0.024,-0.000006413,-0.000007649,-0.00001377,-0.00001086
177,-0.023,-0.000006352,-0.000007328,-0.00001377,-0.00001086
178,-0.022,-0.000006321,-0.000007328,-0.00001377,-0.00001086
179,-0.021,-0.00000626,-0.000007328,-0.00001377,-0.00001086
180,-0.02,-0.000006199,-0.000007328,-0.00001377,-0.00001054
181,-0.019,-0.000006138,-0.000007328,-0.00001377,-0.00001086
182,-0.018,-0.000006077,-0.000007328,-0.00001345,-0.00001086
183,-0.017,-0.000006016,-0.000007328,-0.00001377,-0.00001086
184,-0.016,-0.000005955,-0.000007008,-0.00001345,-0.00001054
185,-0.015,-0.000005893,-0.000007008,-0.00001345,-0.00001086
186,-0.014,-0.000005863,-0.000007008,-0.00001345,-0.00001054
187,-0.013,-0.000005802,-0.000007008,-0.00001345,-0.00001054
188,-0.012,-0.000005741,-0.000007008,-0.00001345,-0.00001054
189,-0.011,-0.00000568,-0.000006688,-0.00001345,-0.00001054
190,-0.01,-0.000005619,-0.000006688,-0.00001345,-0.00001054
191,-0.009,-0.000005557,-0.000006688,-0.00001345,-0.00001054
192,-0.008,-0.000005496,-0.000006688,-0.00001345,-0.00001054
193,-0.007,-0.000005435,-0.000006688,-0.00001345,-0.00001054
194,-0.006,-0.000005405,-0.000006688,-0.00001345,-0.00001054
195,-0.005,-0.000005344,-0.000006688,-0.00001345,-0.00001054
196,-0.004,-0.000005282,-0.000006368,-0.00001345,-0.00001054
197,-0.003,-0.000005221,-0.000006368,-0.00001345,-0.00001054
198,-0.002,-0.00000516,-0.000006368,-0.00001345,-0.00001054
199,-0.001,-0.000005099,-0.000006368,-0.00001313,-0.00001054
200,0,-0.000005038,-0.000006368,-0.00001313,-0.00001022
201,0.001,-0.000004977,-0.000006368,-0.00001313,-0.00001054
202,0.002,-0.000004946,-0.000006048,-0.00001313,-0.00001022
203,0.003,-0.000004885,-0.000006048,-0.00001313,-0.00001022
204,0.004,-0.000004824,-0.000006048,-0.00001313,-0.00001022
205,0.005,-0.000004763,-0.000006048,-0.00001313,-0.00001022
206,0.006,-0.000004702,-0.000006048,-0.00001313,-0.00001022
207,0.007,-0.000004641,-0.000006048,-0.00001313,-0.00001022
208,0.008,-0.00000461,-0.000005728,-0.00001313,-0.00001022
209,0.009,-0.000004549,-0.000005728,-0.00001313,-0.00001022
210,0.01,-0.000004488,-0.000005728,-0.00001313,-0.00001022
211,0.011,-0.000004427,-0.000005728,-0.00001313,-0.00001022
212,0.012,-0.000004366,-0.000005728,-0.00001313,-0.00001022
213,0.013,-0.000004305,-0.000005728,-0.00001281,-0.00001022
214,0.014,-0.000004274,-0.000005728,-0.00001313,-0.00001022
215,0.015,-0.000004213,-0.000005408,-0.00001313,-0.00001022
216,0.016,-0.000004152,-0.000005408,-0.00001281,-0.00001022
217,0.017,-0.000004091,-0.000005408,-0.00001281,-0.00001022
218,0.018,-0.00000406,-0.000005408,-0.00001281,-0.00001022
219,0.019,-0.000003999,-0.000005408,-0.00001281,-0.00001022
220,0.02,-0.000003938,-0.000005408,-0.00001281,-0.000009895
221,0.021,-0.000003877,-0.000005088,-0.00001281,-0.000009895
222,0.022,-0.000003816,-0.000005088,-0.00001281,-0.000009895
223,0.023,-0.000003785,-0.000005088,-0.00001281,-0.000009895
224,0.024,-0.000003724,-0.000005088,-0.00001281,-0.000009895
225,0.025,-0.000003663,-0.000005088,-0.00001281,-0.000009895
226,0.026,-0.000003602,-0.000005088,-0.00001281,-0.000009895
227,0.027,-0.000003541,-0.000005088,-0.00001281,-0.000009895
228,0.028,-0.00000351,-0.000004768,-0.00001281,-0.000009895
229,0.029,-0.000003449,-0.000004768,-0.00001249,-0.000009895
230,0.03,-0.000003388,-0.000004768,-0.00001249,-0.000009895
231,0.031,-0.000003358,-0.000004768,-0.00001249,-0.000009895
232,0.032,-0.000003296,-0.000004768,-0.00001249,-0.000009895
233,0.033,-0.000003235,-0.000004768,-0.00001249,-0.000009895
234,0.034,-0.000003174,-0.000004448,-0.00001249,-0.000009575
235,0.035,-0.000003113,-0.000004448,-0.00001249,-0.000009575
236,0.036,-0.000003083,-0.000004448,-0.00001249,-0.000009575
237,0.037,-0.000003022,-0.000004448,-0.00001249,-0.000009575
238,0.038,-0.00000296,-0.000004448,-0.00001249,-0.000009575
239,0.039,-0.00000293,-0.000004128,-0.00001249,-0.000009575
240,0.04,-0.000002869,-0.000004128,-0.00001249,-0.000009575
241,0.041,-0.000002808,-0.000004128,-0.00001249,-0.000009575
242,0.042,-0.000002777,-0.000004128,-0.00001217,-0.000009575
243,0.043,-0.000002716,-0.000004128,-0.00001217,-0.000009575
244,0.044,-0.000002655,-0.000004128,-0.00001217,-0.000009254
245,0.045,-0.000002594,-0.000004128,-0.00001217,-0.000009575
246,0.046,-0.000002563,-0.000003808,-0.00001217,-0.000009254
247,0.047,-0.000002502,-0.000003808,-0.00001185,-0.000009575
248,0.048,-0.000002441,-0.000003808,-0.00001217,-0.000009254
249,0.049,-0.00000241,-0.000003808,-0.00001185,-0.000009575
250,0.05,-0.000002349,-0.000003808,-0.00001185,-0.000009254
251,0.051,-0.000002288,-0.000003808,-0.00001185,-0.000009254
252,0.052,-0.000002258,-0.000003487,-0.00001185,-0.000009254
253,0.053,-0.000002197,-0.000003487,-0.00001185,-0.000009254
254,0.054,-0.000002135,-0.000003487,-0.00001185,-0.000009254
255,0.055,-0.000002105,-0.000003487,-0.00001185,-0.000009254
256,0.056,-0.000002044,-0.000003487,-0.00001152,-0.000008934
257,0.057,-0.000001983,-0.000003487,-0.00001152,-0.000009254
258,0.058,-0.000001952,-0.000003167,-0.00001152,-0.000008934
259,0.059,-0.000001891,-0.000003167,-0.00001152,-0.000008934
260,0.06,-0.00000183,-0.000003167,-0.00001152,-0.000008934
261,0.061,-0.000001799,-0.000003167,-0.00001152,-0.000008934
262,0.062,-0.000001738,-0.000003167,-0.00001152,-0.000008934
263,0.063,-0.000001677,-0.000002847,-0.00001152,-0.000008934
264,0.064,-0.000001647,-0.000002847,-0.0000112,-0.000008934
265,0.065,-0.000001586,-0.000002847,-0.0000112,-0.000008934
266,0.066,-0.000001555,-0.000002847,-0.0000112,-0.000008614
267,0.067,-0.000001494,-0.000002847,-0.0000112,-0.000008614
268,0.068,-0.000001433,-0.000002847,-0.0000112,-0.000008614
269,0.069,-0.000001402,-0.000002847,-0.00001088,-0.000008614
270,0.07,-0.000001341,-0.000002527,-0.00001088,-0.000008614
271,0.071,-0.00000128,-0.000002527,-0.00001088,-0.000008614
272,0.072,-0.000001249,-0.000002527,-0.00001088,-0.000008614
273,0.073,-0.000001188,-0.000002527,-0.00001088,-0.000008614
274,0.074,-0.000001158,-0.000002527,-0.00001056,-0.000008294
275,0.075,-0.000001097,-0.000002207,-0.00001056,-0.000008294
276,0.076,-0.000001036,-0.000002207,-0.00001056,-0.000008294
277,0.077,-0.000001005,-0.000002207,-0.00001056,-0.000008294
278,0.078,-0.0000009439,-0.000002207,-0.00001056,-0.000008294
279,0.079,-0.0000009134,-0.000002207,-0.00001024,-0.000008294
280,0.08,-0.0000008523,-0.000001887,-0.00001024,-0.000007973
281,0.081,-0.0000007912,-0.000001887,-0.00001024,-0.000007973
282,0.082,-0.0000007606,-0.000001887,-0.000009919,-0.000007973
283,0.083,-0.0000006995,-0.000001887,-0.000009919,-0.000007973
284,0.084,-0.000000669,-0.000001887,-0.000009919,-0.000007973
285,0.085,-0.0000006079,-0.000001887,-0.000009919,-0.000007973
286,0.086,-0.0000005773,-0.000001567,-0.000009598,-0.000007973
287,0.087,-0.0000005162,-0.000001567,-0.000009598,-0.000007653
288,0.088,-0.0000004551,-0.000001567,-0.000009598,-0.000007653
289,0.089,-0.0000004245,-0.000001567,-0.000009277,-0.000007653
290,0.09,-0.0000003634,-0.000001247,-0.000009277,-0.000007653
291,0.091,-0.0000003329,-0.000001247,-0.000009277,-0.000007333
292,0.092,-0.0000002718,-0.000001247,-0.000008956,-0.000007333
293,0.093,-0.0000002412,-0.000001247,-0.000008956,-0.000007333
294,0.094,-0.0000001801,-0.000001247,-0.000008956,-0.000007333
295,0.095,-0.0000001496,-0.000001247,-0.000008635,-0.000007012
296,0.096,-0.00000008846,-0.0000009268,-0.000008635,-0.000007012
297,0.097,-0.00000005791,-0.0000009268,-0.000008314,-0.000007012
298,0.098,0.000000003197,-0.0000009268,-0.000008314,-0.000006692
299,0.099,0.0000000643,-0.0000009268,-0.000007993,-0.000006692
300,0.1,0.00000009486,-0.0000006067,-0.000007993,-0.000006692
301,0.101,0.000000156,-0.0000006067,-0.000007993,-0.000006692
302,0.102,0.0000001865,-0.0000006067,-0.000007672,-0.000006372
303,0.103,0.0000002476,-0.0000006067,-0.000007672,-0.000006052
304,0.104,0.0000002782,-0.0000006067,-0.000007351,-0.000006372
305,0.105,0.0000003393,-0.0000002866,-0.000007351,-0.000006052
306,0.106,0.0000003698,-0.0000002866,-0.00000703,-0.000006052
307,0.107,0.0000004309,-0.0000002866,-0.00000703,-0.000005731
308,0.108,0.0000004615,0.0000000335,-0.000006709,-0.000005731
309,0.109,0.0000005226,0.0000000335,-0.000006387,-0.000005731
310,0.11,0.0000005531,0.0000000335,-0.000006387,-0.000005411
311,0.111,0.0000006143,0.0000000335,-0.000006066,-0.000005091
312,0.112,0.0000006754,0.0000000335,-0.000006066,-0.000005091
313,0.113,0.0000007059,0.0000003536,-0.000005745,-0.000005091
314,0.114,0.0000007365,0.0000003536,-0.000005424,-0.000004771
315,0.115,0.0000007976,0.0000003536,-0.000005103,-0.000004771
316,0.116,0.0000008281,0.0000003536,-0.000005103,-0.00000445
317,0.117,0.0000008892,0.0000006737,-0.000004782,-0.00000445
318,0.118,0.0000009503,0.0000006737,-0.000004461,-0.00000413
319,0.119,0.0000009809,0.0000006737,-0.00000414,-0.00000381
320,0.12,0.000001011,0.0000006737,-0.000003819,-0.00000381
321,0.121,0.000001073,0.0000006737,-0.000003819,-0.00000381
322,0.122,0.000001103,0.0000009938,-0.000003498,-0.000003489
323,0.123,0.000001164,0.0000009938,-0.000003177,-0.000003169
324,0.124,0.000001225,0.0000009938,-0.000002856,-0.000003169
325,0.125,0.000001256,0.0000009938,-0.000002535,-0.000002849
326,0.126,0.000001317,0.000001314,-0.000002214,-0.000002849
327,0.127,0.000001348,0.000001314,-0.000001893,-0.000002208
328,0.128,0.000001409,0.000001314,-0.000001572,-0.000002208
329,0.129,0.000001439,0.000001634,-0.000001251,-0.000001888
330,0.13,0.0000015,0.000001634,-0.0000009296,-0.000001888
331,0.131,0.000001561,0.000001634,-0.0000006085,-0.000001568
332,0.132,0.000001592,0.000001954,-0.0000002875,-0.000001248
333,0.133,0.000001622,0.000001954,0.0000003547,-0.0000009273
334,0.134,0.000001684,0.000001954,0.0000006757,-0.0000009273
335,0.135,0.000001745,0.000001954,0.0000009968,-0.000000607
336,0.136,0.000001775,0.000002274,0.000001318,-0.0000002868
337,0.137,0.000001836,0.000002274,0.00000196,0.00000003351
338,0.138,0.000001867,0.000002274,0.000002281,0.0000003538
339,0.139,0.000001928,0.000002274,0.000002602,0.0000006741
340,0.14,0.000001959,0.000002594,0.000003244,0.0000009943
341,0.141,0.00000202,0.000002594,0.000003565,0.000001315
342,0.142,0.000002081,0.000002594,0.000004207,0.000001635
343,0.143,0.000002111,0.000002914,0.000004528,0.000001955
344,0.144,0.000002142,0.000002914,0.00000517,0.000001955
345,0.145,0.000002203,0.000002914,0.000005813,0.000002596
346,0.146,0.000002264,0.000003234,0.000006455,0.000002916
347,0.147,0.000002295,0.000003234,0.000006776,0.000003236
348,0.148,0.000002356,0.000003234,0.000007418,0.000003556
349,0.149,0.000002386,0.000003554,0.00000806,0.000004197
350,0.15,0.000002447,0.000003554,0.000008702,0.000004517
351,0.151,0.000002509,0.000003554,0.000009023,0.000004838
352,0.152,0.000002539,0.000003875,0.000009986,0.000005158
353,0.153,0.0000026,0.000003875,0.00001031,0.000005798
354,0.154,0.000002661,0.000003875,0.00001095,0.000006119
355,0.155,0.000002692,0.000004195,0.00001159,0.000006759
356,0.156,0.000002753,0.000004195,0.00001255,0.000007079
357,0.157,0.000002783,0.000004515,0.0000132,0.0000074
358,0.158,0.000002845,0.000004515,0.00001384,0.00000772
359,0.159,0.000002906,0.000004515,0.00001448,0.000008361
360,0.16,0.000002936,0.000004835,0.00001512,0.000008681
361,0.161,0.000002997,0.000004835,0.00001609,0.000009321
362,0.162,0.000003058,0.000004835,0.00001673,0.000009642
363,0.163,0.000003089,0.000005155,0.00001737,0.00001028
364,0.164,0.00000315,0.000005155,0.00001833,0.00001092
365,0.165,0.000003211,0.000005155,0.00001898,0.00001124
366,0.166,0.000003272,0.000005475,0.00001994,0.00001188
367,0.167,0.000003303,0.000005475,0.0000209,0.00001252
368,0.168,0.000003364,0.000005795,0.00002154,0.00001284
369,0.169,0.000003425,0.000005795,0.00002251,0.00001348
370,0.17,0.000003486,0.000006115,0.00002347,0.00001381
371,0.171,0.000003547,0.000006115,0.00002411,0.00001445
372,0.172,0.000003578,0.000006115,0.00002508,0.00001509
373,0.173,0.000003639,0.000006435,0.00002604,0.00001573
374,0.174,0.0000037,0.000006435,0.000027,0.00001637
375,0.175,0.000003761,0.000006755,0.00002797,0.00001701
376,0.176,0.000003822,0.000006755,0.00002893,0.00001765
377,0.177,0.000003853,0.000006755,0.00002989,0.00001797
378,0.178,0.000003914,0.000007075,0.00003085,0.00001893
379,0.179,0.000003975,0.000007075,0.00003182,0.00001925
380,0.18,0.000004036,0.000007395,0.00003278,0.00002021
381,0.181,0.000004097,0.000007395,0.00003374,0.00002053
382,0.182,0.000004158,0.000007716,0.00003503,0.00002117
383,0.183,0.000004219,0.000007716,0.00003599,0.00002213
384,0.184,0.00000425,0.000008036,0.00003728,0.00002277
385,0.185,0.000004311,0.000008036,0.00003824,0.00002341
386,0.186,0.000004372,0.000008356,0.0000392,0.00002405
387,0.187,0.000004433,0.000008356,0.00004049,0.00002469
388,0.188,0.000004494,0.000008676,0.00004145,0.00002533
389,0.189,0.000004556,0.000008676,0.00004241,0.00002598
390,0.19,0.000004617,0.000008676,0.0000437,0.00002662
391,0.191,0.000004678,0.000008996,0.00004466,0.00002726
392,0.192,0.000004739,0.000008996,0.00004594,0.00002822
393,0.193,0.0000048,0.000009316,0.00004691,0.00002886
394,0.194,0.000004861,0.000009636,0.00004819,0.0000295
395,0.195,0.000004922,0.000009636,0.00004948,0.00003014
396,0.196,0.000004983,0.000009956,0.00005076,0.0000311
397,0.197,0.000005044,0.000009956,0.00005172,0.00003174
398,0.198,0.000005136,0.00001028,0.00005301,0.00003238
399,0.199,0.000005197,0.00001028,0.00005397,0.00003302
400,0.2,0.000005258,0.00001028,0.00005525,0.00003398
401,0.201,0.000005319,0.0000106,0.00005622,0.0000343
402,0.202,0.00000538,0.00001092,0.0000575,0.00003526
403,0.203,0.000005442,0.00001092,0.00005879,0.00003622
404,0.204,0.000005533,0.00001124,0.00005975,0.00003686
405,0.205,0.000005594,0.00001124,0.00006103,0.00003751
406,0.206,0.000005655,0.00001156,0.00006232,0.00003815
407,0.207,0.000005717,0.00001156,0.0000636,0.00003879
408,0.208,0.000005808,0.00001188,0.00006457,0.00003975
409,0.209,0.000005869,0.0000122,0.00006585,0.00004039
